################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
639319 13535 445 1550.15 2207 4163 6291 8511
642337 15983 432 1542.4 2179 4069 6659 9623
633943 22543 443 1560.28 2239 4267 6651 10199
645220 14695 398 1532.01 2163 4081 6523 9591
640148 16511 439 1542.75 2193 4051 6283 9847
640579 13879 459 1550.38 2195 4135 6523 9471
639188 15183 433 1550.36 2205 4033 6547 8727
639952 17391 456 1544.3 2177 3985 6611 11679
646735 11247 442 1523.99 2143 3931 6399 8727
645676 19695 424 1515.15 2117 3839 6219 10135
626124 24239 418 1562.91 2245 4395 6767 15047
628963 15311 457 1557.72 2225 4287 6455 8983
620786 32447 427 1572.22 2253 4471 6871 9927
628152 18335 435 1561.9 2239 4179 6507 9335
627399 15031 436 1561.47 2233 4311 6771 10655
627927 20287 433 1543.64 2211 4307 6523 10487
624747 18559 440 1561.67 2241 4179 6571 10391
626965 16687 428 1554.36 2219 4363 6591 10583
633743 14655 415 1539.42 2193 4207 6491 10783
626225 17055 430 1556.17 2211 4187 6607 9759
628873 14879 444 1546.66 2201 4227 6655 10535
620754 19471 426 1565.93 2243 4335 6647 10271
620997 14815 433 1561.49 2231 4263 6535 9863
622313 20751 411 1568.45 2253 4283 6803 9647
628393 12191 434 1546.55 2195 4263 6531 8975
621400 19247 433 1566 2235 4247 6623 11663
627824 15767 414 1544.81 2197 4087 6451 10079
622175 14287 432 1560.58 2217 4151 6771 9519
624033 16263 437 1552.14 2209 4175 6607 10631
621552 15967 430 1559.15 2223 4131 6527 10559
621537 14007 406 1561.25 2213 4159 6395 8567
621451 20351 414 1549.05 2219 4219 6543 11207
615208 19615 427 1561.16 2241 4231 6687 10759
630175 16623 397 1526.4 2177 4159 6259 9759
618040 28687 432 1561.12 2239 4291 6743 11455
629573 25119 428 1528.9 2149 3989 6747 9751
613365 31935 428 1565.53 2285 4403 6819 11159
620048 17311 446 1537.42 2205 4131 6667 10623
615213 17279 425 1553.94 2243 4355 6795 10783
623038 29919 448 1540.94 2179 4057 6431 13047
618742 13879 425 1548.08 2229 4367 6503 9767
613452 22463 429 1559.43 2243 4223 6523 9679
624107 31439 428 1525.1 2147 3991 6827 15447
616389 17743 429 1552.09 2241 4139 6643 9431
626124 18239 437 1520.06 2145 4045 6379 9231
617089 15119 382 1554.99 2223 4247 6763 11247
622306 27327 423 1544.51 2183 4047 6387 9415
622139 20463 451 1539.73 2191 4127 6543 11271
625254 16399 393 1531.12 2159 4111 6519 10079
616310 25391 429 1547.26 2229 4255 6379 9975
612741 13399 444 1556.01 2247 4287 6431 9207
623107 23119 453 1543.43 2219 4179 6695 11303
613905 17503 441 1550.5 2225 4119 6487 10071
615078 35199 447 1548.14 2193 4093 6479 11519
615755 14711 455 1555.44 2219 4103 6679 9839
613254 22511 434 1549.75 2217 4315 6443 9671
608947 19071 420 1543.92 2247 4387 6551 9879
614385 23183 437 1541.42 2205 4175 6519 9623
607408 16607 429 1554.01 2231 4199 6651 11383
614132 15663 436 1533.95 2199 4263 6615 10287
618891 14951 452 1535.99 2175 4001 6603 10247
606398 13623 451 1534.01 2203 4041 6455 9183
612289 15783 426 1546.78 2223 4311 6427 9703
612256 21967 432 1534.73 2187 4139 6715 10559
611685 21327 417 1536.89 2197 4155 6635 11655
610609 17087 433 1528.74 2175 4127 6619 10047
623739 17247 425 1512.37 2141 4107 6443 10071
606835 25439 443 1553.54 2209 4295 6515 11775
604838 26639 445 1539.71 2225 4255 6531 11743
612098 16815 420 1546.3 2191 4243 6323 10519
