################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2243312 7095 164 450.6 593 962 4049 4955
2243716 6299 156 450.16 592 959 4091 4899
2242722 6299 157 449.53 591 953 4085 4939
2245464 6527 160 449.93 591 955 4033 4859
2245774 5783 160 450.96 593 959 4061 4863
2253993 6135 159 449.39 590 945 4053 4887
2248590 8463 163 449.71 590 949 4087 5103
2246048 6363 156 449.65 590 950 4085 4939
2242097 6387 163 450.19 593 963 4081 4915
2243583 6935 161 450.24 591 951 4155 5107
2241377 5615 153 449.63 592 951 4043 4859
2238835 8343 162 449.86 592 963 4103 5071
2243527 10423 164 449.73 590 951 4099 4927
2244151 6311 156 449.5 591 954 4085 4911
2246331 6119 154 449.46 590 943 4065 4923
2245913 6291 160 449.88 591 946 4111 4923
2244306 6711 153 449.65 590 943 4103 4943
2237943 6479 161 450.12 593 966 4135 5019
2242565 7803 163 450.08 592 962 4107 5079
2244903 6447 154 449.31 591 958 4099 4951
2238695 6251 153 449.25 591 967 4081 4899
2234171 11599 163 449.81 591 965 4155 5071
2240600 5923 160 449.1 590 957 4081 4935
2243455 6543 159 449.69 591 950 4103 4975
2235783 12535 161 450.49 592 968 4199 5267
2230396 6399 158 449.98 592 957 4139 5007
2229674 7151 161 450.21 593 975 4063 4875
2231182 6071 162 450.11 593 972 4085 4907
2223426 6571 159 449.73 592 981 4151 5019
2229753 7155 161 449.72 592 969 4111 4967
2233552 6955 163 449.36 591 979 4055 4891
2226477 7107 163 450.19 593 997 4111 4963
2224619 8375 165 449.86 594 990 4085 4903
2225857 7543 164 451.16 594 994 4159 5087
2230686 7983 158 450.34 593 987 4123 5011
2227117 8527 156 450.51 594 991 4119 4983
2223578 7659 164 450.27 593 998 4119 5071
2216156 7351 163 450.38 594 1009 4155 5151
2215216 5979 155 450.65 594 1009 4127 4971
2211566 14783 155 451.65 595 1014 4087 5055
2205975 7099 159 450.9 595 1024 4103 5011
2211370 6239 158 450.85 593 1033 4095 4931
2205136 8135 162 451.76 597 1037 4067 4923
2203413 6255 161 451 594 1029 4131 4975
2206582 6155 159 450.99 595 1031 4071 4831
2202808 7267 161 451.79 597 1044 4081 4895
2202417 7495 162 451.32 597 1031 4083 4879
2200564 6231 160 451.29 597 1035 4073 4859
2193932 8163 159 453.12 601 1061 4119 4935
2199579 6223 159 452.25 600 1054 4025 4811
2199803 5971 160 451.23 597 1042 4081 4843
2192633 7159 163 451.98 599 1061 4055 4827
2200015 7503 161 451.06 596 1035 4067 4863
2191543 8815 160 452.02 600 1064 4081 4855
2182229 10735 165 452.58 602 1076 4071 4851
2188272 7451 160 452.79 601 1066 4089 4971
2185643 6367 160 452.85 600 1073 4139 4979
2184376 7423 159 452.78 601 1076 4107 4915
2183912 7315 160 452.02 600 1067 4111 4967
2184745 8327 164 452.8 601 1061 4095 4891
2189275 7411 162 451.62 598 1053 4127 4975
2181330 8083 156 451.25 599 1057 4059 4891
2174721 6859 158 452.34 601 1076 4139 5019
2179976 7363 164 453.08 602 1065 4123 4947
2179927 6927 153 452.5 600 1067 4163 4987
2175902 7327 167 451.51 597 1070 4171 5051
2159761 7987 162 453.97 602 1149 4143 4975
2170561 6315 158 453.68 604 1098 4167 4959
2178943 7007 160 453.41 602 1081 4183 5055
2169155 7871 165 454.02 604 1106 4107 4923
2181737 7075 159 453.16 603 1075 4151 5011
2182254 7367 162 454.28 604 1076 4199 5107
2173992 7115 159 453.28 603 1088 4147 4947
2169279 8231 155 454.77 607 1095 4203 5151
2178770 8019 164 453.95 604 1083 4171 5011
2180819 8087 153 453.41 603 1070 4139 4959
2174040 7515 158 453.3 604 1086 4093 4891
2178265 6163 158 453.93 604 1080 4099 4951
2174387 17455 154 454.16 604 1100 4139 5031
2178265 5947 160 453.14 603 1076 4095 4939
2176841 14599 153 454.69 604 1091 4103 5071
2181589 6759 156 453.08 602 1085 4027 4819
2184804 6419 166 453.81 602 1091 4069 4855
2180920 6119 164 453.58 602 1076 4047 4755
2176883 9623 159 453.89 603 1105 4059 4831
2185993 6455 164 454.04 604 1082 4053 4863
2180523 7411 162 454.77 605 1100 4111 4951
2188265 8071 169 454.7 605 1074 4115 4915
2188664 7995 157 454.67 604 1076 4139 5023
2193452 9151 155 453.71 602 1061 4081 4899
2193624 6255 159 454.24 603 1056 4103 4879
2193292 6215 160 452.69 602 1061 4073 4903
2191714 6339 162 453.15 601 1057 4135 4923
2199719 6843 167 453.93 602 1047 4111 4983
2197653 6451 157 453.79 603 1060 4099 4971
2202240 8031 159 453.63 601 1046 4099 4943
2193494 8535 162 454.4 603 1073 4131 4943
2195555 8415 162 454.75 604 1064 4135 5059
2201487 7775 165 454.07 602 1054 4131 5063
2206851 7631 156 453.29 600 1032 4135 5039
2213095 8351 154 452.24 597 1022 4063 4903
2203102 7495 161 452.87 600 1040 4107 4923
2207186 7947 162 451.64 599 1037 4103 4927
2217333 7675 160 452.88 600 1024 4135 4963
2216342 6615 161 452.2 600 1023 4087 4955
2216346 6051 158 452.24 600 1015 4051 4895
2218461 6943 161 452.73 599 1022 4073 4879
2218854 9543 164 452.64 599 1019 4155 5087
2217859 8599 162 452.37 598 1027 4147 5263
2223670 5967 163 451.68 597 1021 4115 4931
